epoch_ms,watts,minion_mhz,minion_mv
1790194779582,32.89,600.0,518.0
1790194779699,32.8,600.0,518.0
1790194779771,32.8,600.0,518.0
1790194779852,32.71,600.0,518.0
1790194779932,32.7,600.0,518.0
1790194780064,32.65,600.0,518.0
1790194780145,32.65,600.0,518.0
1790194780225,32.65,600.0,518.0
1790194780296,32.65,600.0,518.0
1790194780420,32.53,600.0,518.0
1790194780500,32.49,600.0,518.0
1790194780579,32.49,600.0,518.0
1790194780660,32.46,600.0,518.0
1790194780791,32.52,600.0,518.0
1790194780870,32.26,600.0,518.0
1790194780941,32.26,600.0,518.0
1790194781021,32.43,600.0,518.0
1790194781160,32.36,600.0,518.0
1790194781240,32.36,600.0,518.0
1790194781320,32.39,600.0,518.0
1790194781399,32.38,600.0,518.0
1790194781531,32.38,600.0,518.0
1790194781610,32.38,600.0,518.0
1790194781690,32.23,600.0,518.0
1790194781771,32.23,600.0,518.0
1790194781903,32.13,600.0,518.0
1790194781975,32.26,600.0,518.0
1790194782055,32.26,600.0,518.0
1790194782135,32.22,600.0,518.0
1790194782259,32.21,600.0,518.0
1790194782338,32.16,600.0,518.0
1790194782417,32.16,600.0,518.0
1790194782489,32.19,600.0,518.0
1790194782622,32.08,600.0,518.0
1790194782702,32.08,600.0,518.0
1790194782781,32.2,600.0,518.0
1790194782861,32.2,600.0,518.0
1790194782986,32.12,600.0,518.0
1790194783064,32.09,600.0,518.0
1790194783137,32.09,600.0,518.0
1790194783217,32.07,600.0,518.0
1790194783351,32.06,600.0,518.0
1790194783430,32.0,600.0,518.0
1790194783511,32.0,600.0,518.0
1790194783591,32.05,600.0,518.0
1790194783703,31.99,600.0,518.0
1790194783783,31.99,600.0,518.0
1790194783863,31.94,600.0,518.0
1790194783934,31.94,600.0,518.0
1790194784060,32.03,600.0,518.0
1790194784140,32.07,600.0,518.0
1790194784220,32.07,600.0,518.0
1790194784301,31.93,600.0,518.0
1790194784436,31.9,600.0,518.0
1790194784516,31.86,600.0,518.0
1790194784587,31.86,600.0,518.0
1790194784659,31.89,600.0,518.0
1790194784794,31.93,600.0,518.0
1790194784866,31.93,600.0,518.0
1790194784946,31.93,600.0,518.0
1790194785027,31.93,600.0,518.0
1790194785166,31.9,600.0,518.0
1790194785246,31.86,600.0,518.0
1790194785326,31.81,600.0,518.0
1790194785406,31.81,600.0,518.0
1790194785536,31.83,600.0,518.0
1790194785616,31.88,600.0,518.0
1790194785681,31.88,600.0,518.0
1790194785746,31.79,600.0,518.0
1790194785844,31.79,600.0,518.0
1790194785909,34.15,600.0,518.0
1790194785974,34.15,600.0,518.0
1790194786039,34.2,600.0,518.0
1790194786136,34.3,600.0,518.0
1790194786200,34.3,600.0,518.0
1790194786265,34.28,600.0,518.0
1790194786329,34.28,600.0,518.0
1790194786427,34.11,600.0,518.0
1790194786491,34.11,600.0,518.0
1790194786557,34.11,600.0,518.0
1790194786621,34.11,600.0,518.0
1790194786719,34.22,600.0,518.0
1790194786784,34.22,600.0,518.0
1790194786849,34.1,600.0,518.0
1790194786914,34.1,600.0,518.0
1790194787011,34.26,600.0,518.0
1790194787076,34.22,600.0,518.0
1790194787140,34.22,600.0,518.0
1790194787205,34.22,600.0,518.0
1790194787302,34.19,600.0,518.0
1790194787367,34.15,600.0,518.0
1790194787431,34.15,600.0,518.0
1790194787496,34.23,600.0,518.0
1790194787593,34.23,600.0,518.0
1790194787658,34.19,600.0,518.0
1790194787723,34.19,600.0,518.0
1790194787788,34.1,600.0,518.0
1790194787884,34.1,600.0,518.0
1790194787948,34.18,600.0,518.0
1790194788013,34.18,600.0,518.0
1790194788078,34.23,600.0,518.0
1790194788175,34.15,600.0,518.0
1790194788239,34.15,600.0,518.0
1790194788304,34.18,600.0,518.0
1790194788370,34.18,600.0,518.0
1790194788467,34.17,600.0,518.0
1790194788532,34.17,600.0,518.0
1790194788597,34.14,600.0,518.0
1790194788662,34.14,600.0,518.0
1790194788759,34.2,600.0,518.0
1790194788824,34.2,600.0,518.0
1790194788888,34.16,600.0,518.0
1790194788953,34.16,600.0,518.0
1790194789049,34.08,600.0,518.0
1790194789114,34.11,600.0,518.0
1790194789178,34.11,600.0,518.0
1790194789244,34.26,600.0,518.0
1790194789339,34.26,600.0,518.0
1790194789404,34.11,600.0,518.0
1790194789469,34.11,600.0,518.0
1790194789534,34.14,600.0,518.0
1790194789631,34.14,600.0,518.0
1790194789696,34.14,600.0,518.0
1790194789761,34.14,600.0,518.0
1790194789826,34.1,600.0,518.0
1790194789923,34.12,600.0,518.0
1790194789987,34.12,600.0,518.0
1790194790052,31.52,600.0,518.0
1790194790118,31.52,600.0,518.0
1790194790235,31.59,600.0,518.0
1790194790316,31.49,600.0,518.0
1790194790396,31.49,600.0,518.0
1790194790476,31.46,600.0,518.0
1790194790608,31.5,600.0,518.0
1790194790679,31.5,600.0,518.0
1790194790749,31.47,600.0,518.0
1790194790829,31.47,600.0,518.0
1790194790953,31.35,600.0,518.0
1790194791033,31.39,600.0,518.0
1790194791113,31.46,600.0,518.0
1790194791193,31.46,600.0,518.0
1790194791315,31.37,600.0,518.0
1790194791386,31.36,600.0,518.0
1790194791465,31.36,600.0,518.0
1790194791545,31.37,600.0,518.0
1790194791683,31.45,600.0,518.0
1790194791754,31.45,600.0,518.0
1790194791834,31.32,600.0,518.0
1790194791904,31.32,600.0,518.0
1790194792011,31.4,600.0,518.0
1790194792091,31.35,600.0,518.0
1790194792163,31.35,600.0,518.0
1790194792244,31.32,600.0,518.0
1790194792377,31.39,600.0,518.0
1790194792458,31.39,600.0,518.0
1790194792537,31.27,600.0,518.0
1790194792617,31.12,600.0,518.0
1790194792729,31.12,600.0,518.0
1790194792799,31.31,600.0,518.0
1790194792880,31.35,600.0,518.0
1790194792961,31.35,600.0,518.0
1790194793066,31.27,600.0,518.0
1790194793137,31.27,600.0,518.0
1790194793217,31.27,600.0,518.0
1790194793297,31.2,600.0,518.0
1790194793425,31.16,600.0,518.0
1790194793496,31.16,600.0,518.0
1790194793566,31.32,600.0,518.0
1790194793646,31.32,600.0,518.0
1790194793781,31.32,600.0,518.0
1790194793861,31.31,600.0,518.0
1790194793941,31.31,600.0,518.0
1790194794021,31.2,600.0,518.0
1790194794146,31.26,600.0,518.0
1790194794226,31.35,600.0,518.0
1790194794307,31.35,600.0,518.0
1790194794387,31.26,600.0,518.0
1790194794528,31.23,600.0,518.0
1790194794598,31.23,600.0,518.0
1790194794679,31.26,600.0,518.0
1790194794756,31.26,600.0,518.0
1790194794895,31.2,600.0,518.0
1790194794975,31.26,600.0,518.0
1790194795055,31.23,600.0,518.0
1790194795125,31.23,600.0,518.0
1790194795223,31.16,600.0,518.0
1790194795287,31.16,600.0,518.0
1790194795352,33.39,600.0,518.0
1790194795417,33.39,600.0,518.0
1790194795513,33.42,600.0,518.0
1790194795577,33.42,600.0,518.0
1790194795642,33.27,600.0,518.0
1790194795707,33.27,600.0,518.0
1790194795802,33.33,600.0,518.0
1790194795868,33.36,600.0,518.0
1790194795933,33.36,600.0,518.0
1790194795998,33.35,600.0,518.0
1790194796095,33.35,600.0,518.0
1790194796159,33.37,600.0,518.0
1790194796223,33.37,600.0,518.0
1790194796288,33.41,600.0,518.0
1790194796385,33.41,600.0,518.0
1790194796450,33.34,600.0,518.0
1790194796514,33.34,600.0,518.0
1790194796580,33.35,600.0,518.0
1790194796678,33.44,600.0,518.0
1790194796742,33.44,600.0,518.0
1790194796807,33.46,600.0,518.0
1790194796872,33.46,600.0,518.0
1790194796970,33.33,600.0,518.0
1790194797034,33.33,600.0,518.0
1790194797099,33.33,600.0,518.0
1790194797163,33.33,600.0,518.0
1790194797261,33.42,600.0,518.0
1790194797326,33.42,600.0,518.0
1790194797391,33.38,600.0,518.0
1790194797455,33.38,600.0,518.0
1790194797552,33.43,600.0,518.0
1790194797617,33.51,600.0,518.0
1790194797681,33.51,600.0,518.0
1790194797747,33.51,600.0,518.0
1790194797842,33.34,600.0,518.0
1790194797908,33.41,600.0,518.0
1790194797972,33.41,600.0,518.0
1790194798037,33.42,600.0,518.0
1790194798134,33.42,600.0,518.0
1790194798199,33.42,600.0,518.0
1790194798263,33.42,600.0,518.0
1790194798328,33.39,600.0,518.0
1790194798425,33.44,600.0,518.0
1790194798489,33.44,600.0,518.0
1790194798554,33.44,600.0,518.0
1790194798619,33.38,600.0,518.0
1790194798716,33.39,600.0,518.0
1790194798780,33.39,600.0,518.0
1790194798846,33.33,600.0,518.0
1790194798910,33.33,600.0,518.0
1790194799008,33.38,600.0,518.0
1790194799072,33.38,600.0,518.0
1790194799137,33.42,600.0,518.0
1790194799202,33.42,600.0,518.0
1790194799298,33.36,600.0,518.0
1790194799362,33.36,600.0,518.0
1790194799427,33.42,600.0,518.0
1790194799492,33.42,600.0,518.0
1790194799589,31.28,600.0,518.0
1790194799660,31.29,600.0,518.0
1790194799731,31.29,600.0,518.0
1790194799801,31.14,600.0,518.0
1790194799922,31.2,600.0,518.0
1790194800002,31.2,600.0,518.0
1790194800074,31.2,600.0,518.0
1790194800153,31.2,600.0,518.0
1790194800283,31.11,600.0,518.0
1790194800363,31.22,600.0,518.0
1790194800442,31.17,600.0,518.0
1790194800522,31.17,600.0,518.0
1790194800648,31.06,600.0,518.0
1790194800728,31.17,600.0,518.0
1790194800808,31.17,600.0,518.0
1790194800888,31.13,600.0,518.0
1790194801023,31.13,600.0,518.0
1790194801104,31.13,600.0,518.0
1790194801185,31.09,600.0,518.0
1790194801265,31.08,600.0,518.0
1790194801371,31.08,600.0,518.0
1790194801451,31.14,600.0,518.0
1790194801530,31.06,600.0,518.0
1790194801611,31.06,600.0,518.0
1790194801745,31.12,600.0,518.0
1790194801824,31.1,600.0,518.0
1790194801895,31.1,600.0,518.0
1790194801975,31.13,600.0,518.0
1790194802086,31.01,600.0,518.0
1790194802166,31.01,600.0,518.0
1790194802246,31.13,600.0,518.0
1790194802316,31.13,600.0,518.0
1790194802447,31.06,600.0,518.0
1790194802527,31.13,600.0,518.0
1790194802607,30.83,600.0,518.0
1790194802678,30.83,600.0,518.0
1790194802818,30.96,600.0,518.0
1790194802898,31.04,600.0,518.0
1790194802978,31.04,600.0,518.0
1790194803058,31.05,600.0,518.0
1790194803183,31.04,600.0,518.0
1790194803264,31.04,600.0,518.0
1790194803343,31.06,600.0,518.0
1790194803423,30.97,600.0,518.0
1790194803547,31.09,600.0,518.0
1790194803626,31.09,600.0,518.0
1790194803705,31.0,600.0,518.0
1790194803786,31.0,600.0,518.0
1790194803919,30.99,600.0,518.0
