epoch_ms,watts,minion_mhz,minion_mv
1790195235433,32.82,600.0,518.0
1790195235558,32.85,600.0,518.0
1790195235637,32.7,600.0,518.0
1790195235717,32.7,600.0,518.0
1790195235786,32.72,600.0,518.0
1790195235910,32.65,600.0,518.0
1790195235990,32.65,600.0,518.0
1790195236070,32.58,600.0,518.0
1790195236151,32.56,600.0,518.0
1790195236290,32.46,600.0,518.0
1790195236369,32.46,600.0,518.0
1790195236449,32.44,600.0,518.0
1790195236530,32.44,600.0,518.0
1790195236660,32.46,600.0,518.0
1790195236740,32.42,600.0,518.0
1790195236820,32.43,600.0,518.0
1790195236900,32.43,600.0,518.0
1790195237030,32.35,600.0,518.0
1790195237110,32.29,600.0,518.0
1790195237189,32.29,600.0,518.0
1790195237269,32.32,600.0,518.0
1790195237407,32.24,600.0,518.0
1790195237486,32.26,600.0,518.0
1790195237566,32.26,600.0,518.0
1790195237645,32.27,600.0,518.0
1790195237777,32.2,600.0,518.0
1790195237857,32.2,600.0,518.0
1790195237937,32.13,600.0,518.0
1790195238016,32.13,600.0,518.0
1790195238147,32.23,600.0,518.0
1790195238227,32.13,600.0,518.0
1790195238306,32.16,600.0,518.0
1790195238387,32.16,600.0,518.0
1790195238525,32.12,600.0,518.0
1790195238605,32.09,600.0,518.0
1790195238686,32.09,600.0,518.0
1790195238755,32.08,600.0,518.0
1790195238889,32.09,600.0,518.0
1790195238968,32.0,600.0,518.0
1790195239048,32.0,600.0,518.0
1790195239128,32.03,600.0,518.0
1790195239255,31.93,600.0,518.0
1790195239324,31.93,600.0,518.0
1790195239403,31.96,600.0,518.0
1790195239483,31.96,600.0,518.0
1790195239612,31.91,600.0,518.0
1790195239692,31.99,600.0,518.0
1790195239757,31.99,600.0,518.0
1790195239837,31.94,600.0,518.0
1790195239972,31.96,600.0,518.0
1790195240052,31.93,600.0,518.0
1790195240133,31.93,600.0,518.0
1790195240204,31.91,600.0,518.0
1790195240330,31.85,600.0,518.0
1790195240409,31.85,600.0,518.0
1790195240489,31.86,600.0,518.0
1790195240568,31.86,600.0,518.0
1790195240707,31.89,600.0,518.0
1790195240777,31.91,600.0,518.0
1790195240857,31.73,600.0,518.0
1790195240937,31.73,600.0,518.0
1790195241071,31.81,600.0,518.0
1790195241151,31.76,600.0,518.0
1790195241222,31.76,600.0,518.0
1790195241303,31.83,600.0,518.0
1790195241434,31.76,600.0,518.0
1790195241512,31.76,600.0,518.0
1790195241578,31.8,600.0,518.0
1790195241643,31.8,600.0,518.0
1790195241740,34.2,600.0,518.0
1790195241805,34.2,600.0,518.0
1790195241870,34.15,600.0,518.0
1790195241935,34.15,600.0,518.0
1790195242031,34.1,600.0,518.0
1790195242097,34.16,600.0,518.0
1790195242161,34.16,600.0,518.0
1790195242226,34.18,600.0,518.0
1790195242323,34.18,600.0,518.0
1790195242388,34.14,600.0,518.0
1790195242452,34.14,600.0,518.0
1790195242517,34.25,600.0,518.0
1790195242614,34.25,600.0,518.0
1790195242679,34.18,600.0,518.0
1790195242745,34.18,600.0,518.0
1790195242810,34.23,600.0,518.0
1790195242907,34.18,600.0,518.0
1790195242971,34.18,600.0,518.0
1790195243037,34.28,600.0,518.0
1790195243101,34.28,600.0,518.0
1790195243198,34.08,600.0,518.0
1790195243263,34.08,600.0,518.0
1790195243328,34.16,600.0,518.0
1790195243392,34.16,600.0,518.0
1790195243490,34.22,600.0,518.0
1790195243554,34.22,600.0,518.0
1790195243619,34.11,600.0,518.0
1790195243683,34.11,600.0,518.0
1790195243780,34.19,600.0,518.0
1790195243845,34.11,600.0,518.0
1790195243910,34.11,600.0,518.0
1790195243974,34.11,600.0,518.0
