sp_us,minion_w,sram_w,noc_w,board_w
53518952431,11.905,3.378,3.728,34.36
53519086031,11.907,3.379,3.732,34.36
53519220831,11.908,3.381,3.732,34.36
53519354431,11.911,3.380,3.730,34.36
53519487631,11.915,3.377,3.729,34.37
53519622431,11.916,3.379,3.732,34.37
53519756031,11.912,3.381,3.733,34.37
53519889631,11.911,3.385,3.736,34.13
53520024032,11.830,3.262,3.736,33.89
53520157231,11.751,3.105,3.732,33.67
53520290431,11.682,2.978,3.730,33.47
53520425231,11.617,2.868,3.729,33.30
53520558431,11.558,2.763,3.727,33.15
53520692032,11.500,2.675,3.725,33.02
53520826431,11.450,2.599,3.721,32.90
53520960031,11.408,2.534,3.721,32.79
53521093631,11.372,2.478,3.722,32.70
53521228031,11.344,2.422,3.722,32.62
53521361231,11.310,2.377,3.725,32.55
53521494831,11.286,2.337,3.723,32.48
53521629631,11.264,2.302,3.722,32.43
53521763231,11.244,2.271,3.719,32.38
53521896831,11.228,2.245,3.718,32.34
53522031632,11.213,2.221,3.716,32.30
53522165231,11.199,2.200,3.716,32.26
53522298431,11.188,2.181,3.720,32.23
53522433231,11.180,2.164,3.719,32.20
53522566831,11.170,2.151,3.716,32.18
53522700031,11.165,2.138,3.712,32.16
53522834831,11.150,2.127,3.710,32.14
53522968431,11.144,2.116,3.711,32.12
53523102031,11.140,2.105,3.710,32.10
53523236831,11.130,2.098,3.712,32.09
53523370431,11.124,2.092,3.705,32.08
53523503631,11.119,2.087,3.705,32.07
53523638431,11.114,2.082,3.705,32.06
53523772032,11.111,2.079,3.705,32.05
53523905631,11.104,2.074,3.703,32.04
53524040432,37.437,2.072,3.705,32.13
53524174031,11.116,2.111,3.732,32.34
53524307631,11.157,2.238,3.779,32.52
53524442432,11.186,2.339,3.815,32.69
53524575631,11.209,2.429,3.851,32.83
53524709231,11.235,2.514,3.886,32.96
53524844031,11.261,2.580,3.912,33.08
53524977631,11.277,2.640,3.936,33.17
53525111231,11.299,2.689,3.949,33.26
53525246031,11.320,2.739,3.970,33.34
53525379631,11.334,2.779,3.986,33.40
53525513231,11.340,2.814,3.999,33.46
53525648431,11.356,2.847,4.009,33.51
53525782032,11.364,2.874,4.021,33.56
53525915631,11.365,2.902,4.033,33.60
53526050432,11.374,2.925,4.044,33.63
53526184031,11.379,2.943,4.052,33.66
53526317631,11.380,2.957,4.056,33.69
53526452431,11.397,2.970,4.063,33.72
53526586031,11.402,2.983,4.069,33.74
53526719631,11.391,2.995,4.071,33.76
53526854431,11.397,3.005,4.077,33.78
53526988031,11.407,3.016,4.077,33.80
53527121231,11.405,3.023,4.082,33.81
53527256031,11.405,3.029,4.088,33.82
53527389631,11.411,3.034,4.090,33.83
53527523231,11.418,3.039,4.093,33.84
53527658031,11.426,3.041,4.098,33.85
53527791631,11.429,3.044,4.098,33.86
53527925231,11.434,3.047,4.100,33.86
53528060032,11.434,3.046,4.098,33.87
53528193631,11.438,3.050,4.098,33.87
53528327231,11.437,3.052,4.101,33.88
53528462031,11.444,3.053,4.103,33.88
53528595631,11.439,3.055,4.106,33.89
53528729231,11.434,3.058,4.109,33.89
53528864031,11.433,3.060,4.109,33.90
53528997632,11.440,3.062,4.110,33.90
53529131231,11.453,3.066,4.108,33.90
53529266431,11.456,3.063,4.110,33.91
53529400031,11.453,3.063,4.110,33.91
53529533632,11.456,3.064,4.112,33.91
53529668431,11.457,3.067,4.112,33.91
53529802031,11.453,3.064,4.113,33.91
53529935631,11.455,3.064,4.112,33.92
53530070432,11.446,3.067,4.112,33.92
53530204031,11.446,3.069,4.110,33.92
53530337631,11.447,3.069,4.112,33.92
53530472431,11.443,3.068,4.113,33.92
53530606031,11.448,3.068,4.112,33.92
53530739632,11.445,3.069,4.114,33.92
53530874431,11.460,3.070,4.113,33.87
53531007632,11.448,3.042,4.098,33.65
53531141231,11.415,2.920,4.052,33.45
53531275631,11.382,2.813,4.013,33.28
53531409231,11.348,2.720,3.978,33.13
53531542831,11.319,2.633,3.947,32.99
53531677631,11.295,2.563,3.917,32.87
53531811231,11.276,2.500,3.893,32.77
53531944431,11.258,2.441,3.871,32.68
53532079232,11.236,2.394,3.853,32.59
53532212431,11.219,2.350,3.834,32.52
53532346031,11.207,2.311,3.819,32.46
