sp_us,minion_w,sram_w,noc_w,board_w
53586954431,11.133,2.058,3.725,32.09
53587088031,11.137,2.058,3.726,32.09
53587222431,11.142,2.057,3.723,32.09
53587355631,11.139,2.057,3.726,32.08
53587489231,11.132,2.056,3.726,32.08
53587623632,11.124,2.056,3.726,32.08
53587756831,11.118,2.057,3.727,32.08
53587890031,11.107,2.057,3.730,32.08
53588024513,11.107,2.059,3.730,32.08
53588158031,11.108,2.057,3.730,32.08
53588291231,11.116,2.057,3.729,32.08
53588425715,11.120,2.057,3.727,32.08
53588558831,11.121,2.058,3.725,32.08
53588692031,11.117,2.057,3.725,32.08
53588825231,11.116,2.057,3.726,32.08
53588958431,11.119,2.057,3.725,32.08
53589092031,11.116,2.057,3.722,32.08
53589225231,11.115,2.057,3.724,32.08
53589358431,11.119,2.057,3.725,32.08
53589491631,11.124,2.057,3.725,32.08
53589624831,11.122,2.055,3.726,32.08
53589758431,11.127,2.055,3.724,32.08
53589892031,11.132,2.055,3.727,32.08
53590025231,11.135,2.055,3.727,32.08
53590159631,11.135,2.054,3.727,32.08
53590292831,11.127,2.054,3.726,32.08
53590426031,11.131,2.055,3.724,32.08
53590560831,11.127,2.054,3.721,32.08
53590694031,11.121,2.053,3.722,32.08
53590827631,11.118,2.053,3.722,32.08
53590962431,11.118,2.054,3.721,32.08
53591095631,11.118,2.054,3.725,32.08
53591228831,11.126,2.053,3.725,32.08
53591363231,11.127,2.055,3.723,32.08
53591496431,11.133,2.055,3.723,32.08
53591629631,11.131,2.056,3.725,32.08
53591764431,11.134,2.054,3.723,32.08
53591898031,11.135,2.055,3.719,32.08
53592031231,11.134,2.058,3.718,32.08
53592166031,11.128,2.059,3.717,32.08
53592299231,11.127,2.058,3.722,32.07
53592432831,11.133,2.057,3.720,32.07
53592567231,11.130,2.054,3.717,32.07
53592700431,11.128,2.054,3.716,32.07
53592833631,11.125,2.057,3.718,32.07
53592968031,11.124,2.059,3.722,32.07
53593101231,11.125,2.059,3.724,32.07
53593234431,11.126,2.058,3.727,32.07
53593369231,11.129,2.058,3.726,32.07
53593502431,11.134,2.058,3.727,32.07
53593635631,11.136,2.058,3.725,32.07
53593770431,11.127,2.057,3.725,32.07
53593903631,11.121,2.057,3.729,32.07
53594036831,11.129,2.057,3.729,32.07
53594171231,11.134,2.055,3.728,32.07
53594304431,11.130,2.055,3.728,32.07
53594437631,11.131,2.055,3.731,32.06
53594572031,11.134,2.055,3.729,32.06
53594705231,11.137,2.053,3.727,32.06
53594838431,11.130,2.051,3.726,32.06
53594972831,11.125,2.053,3.724,32.06
53595106031,11.123,2.055,3.720,32.06
53595239631,11.122,2.056,3.722,32.06
53595374431,11.123,2.056,3.719,32.06
53595508031,11.119,2.058,3.720,32.06
53595641231,11.121,2.058,3.722,32.05
53595776031,11.124,2.059,3.724,32.05
53595909231,11.123,2.058,3.724,32.05
53596042431,11.116,2.060,3.725,32.05
53596177231,11.125,2.060,3.724,32.05
53596310831,11.127,2.061,3.724,32.05
53596444431,11.124,2.061,3.721,32.05
53596579231,11.120,2.062,3.726,32.05
53596712831,11.117,2.062,3.721,32.05
53596846031,11.122,2.060,3.720,32.05
53596980831,11.120,2.059,3.724,32.05
53597114431,11.121,2.058,3.724,32.05
53597247631,11.117,2.056,3.724,32.05
53597382431,11.114,2.056,3.727,32.05
53597515631,11.109,2.053,3.729,32.05
53597648831,11.111,2.054,3.727,32.04
53597783231,11.116,2.054,3.726,32.04
53597916431,11.111,2.054,3.727,32.04
53598050031,11.103,2.054,3.724,32.04
53598184831,11.102,2.054,3.720,32.04
53598318031,11.102,2.055,3.722,32.04
53598451231,11.103,2.056,3.725,32.04
53598586031,11.107,2.056,3.720,32.04
53598719231,11.104,2.058,3.717,32.04
53598852431,11.108,2.059,3.712,32.04
53598987231,11.109,2.057,3.715,32.04
53599120431,11.105,2.057,3.715,32.04
53599253631,11.096,2.057,3.713,32.04
53599388431,11.101,2.057,3.713,32.04
53599521631,11.100,2.057,3.714,32.04
53599655231,11.103,2.059,3.713,32.04
53599789631,11.098,2.059,3.714,32.04
53599922831,11.110,2.058,3.715,32.04
53600056431,11.105,2.060,3.718,32.03
53600191231,11.113,2.060,3.716,32.03
53600324431,11.109,2.057,3.714,32.03
53600458031,11.110,2.055,3.715,32.03
53600592831,11.107,2.057,3.714,32.03
53600726031,11.109,2.056,3.716,32.03
53600859231,11.110,2.056,3.715,32.03
53600994031,11.109,2.055,3.717,32.03
53601127231,11.107,2.054,3.718,32.03
53601260431,11.110,2.054,3.719,32.03
53601395231,11.111,2.052,3.719,32.03
53601528831,11.103,2.051,3.719,32.03
53601662031,11.105,2.052,3.719,32.03
53601796431,11.108,2.054,3.717,32.03
53601930031,11.112,2.054,3.720,32.03
53602063231,11.102,2.055,3.723,32.03
53602198031,11.103,2.057,3.722,32.03
53602331631,11.101,2.056,3.721,32.03
53602464831,11.106,2.056,3.718,32.03
53602599231,11.110,2.056,3.717,32.03
53602732431,11.114,2.055,3.718,32.03
53602865631,11.114,2.054,3.720,32.03
53603000431,11.121,2.054,3.718,32.03
53603133631,11.118,2.056,3.717,32.03
53603266831,11.116,2.058,3.714,32.03
53603401631,11.121,2.057,3.713,32.03
53603534831,11.117,2.056,3.710,32.03
53603668031,11.114,2.054,3.708,32.03
53603802831,11.111,2.051,3.704,32.03
53603936031,11.115,2.050,3.703,32.03
53604069231,11.109,2.051,3.699,32.03
53604203631,11.103,2.049,3.702,32.03
53604336831,11.104,2.049,3.703,32.03
53604470431,11.099,2.048,3.704,32.02
53604604831,11.098,2.048,3.705,32.02
53604738031,11.100,2.046,3.709,32.02
53604871231,11.109,2.046,3.710,32.02
53605006031,11.114,2.048,3.715,32.02
53605139231,11.111,2.048,3.715,32.02
53605272431,11.102,2.048,3.717,32.02
53605407231,11.099,2.047,3.717,32.02
53605540431,11.097,2.047,3.713,32.02
53605673631,11.095,2.049,3.713,32.02
53605808031,11.096,2.047,3.714,32.02
53605941631,11.089,2.048,3.712,32.02
53606075231,11.087,2.050,3.711,32.02
53606209631,11.092,2.050,3.706,32.02
53606342831,11.091,2.048,3.702,32.02
53606476031,11.086,2.048,3.709,32.01
53606610831,11.087,2.049,3.709,32.02
53606744031,11.088,2.051,3.711,32.01
53606877231,11.085,2.051,3.708,32.01
53607012031,11.092,2.051,3.705,32.01
53607145231,11.098,2.050,3.705,32.01
53607278831,11.100,2.048,3.704,32.01
53607413631,11.103,2.044,3.706,32.01
53607546831,11.109,2.046,3.709,32.01
53607680031,11.105,2.047,3.708,32.01
53607814831,11.101,2.045,3.712,32.01
53607948031,11.103,2.044,3.707,32.01
53608081231,11.100,2.044,3.706,32.01
53608216031,11.102,2.044,3.706,32.01
53608349231,11.109,2.044,3.707,32.01
53608482431,11.101,2.044,3.707,32.01
53608617231,11.104,2.043,3.706,32.01
53608750431,11.106,2.044,3.703,32.01
53608884031,11.107,2.043,3.705,32.01
53609018831,11.105,2.043,3.707,32.01
53609152031,11.103,2.044,3.707,32.01
53609285631,11.095,2.042,3.708,32.01
53609420431,11.094,2.042,3.706,32.01
53609553631,11.096,2.043,3.707,32.01
53609686831,11.093,2.043,3.704,32.01
53609821232,11.087,2.042,3.706,32.01
53609954431,11.096,2.043,3.705,32.01
53610087631,11.092,2.044,3.708,32.01
53610222096,11.095,2.043,3.706,32.00
53610355231,11.093,2.044,3.707,32.00
53610488431,11.097,2.045,3.709,32.00
53610621631,11.094,2.044,3.708,32.00
53610754831,11.095,2.043,3.709,32.00
53610888031,11.095,2.043,3.708,32.00
53611021631,11.102,2.043,3.709,32.00
53611154831,11.098,2.042,3.708,32.00
53611288031,11.098,2.044,3.709,32.00
53611421231,11.101,2.044,3.708,32.00
53611555231,11.105,2.044,3.709,32.00
53611688431,11.107,2.044,3.712,32.00
53611821631,11.104,2.045,3.711,32.00
53611956431,11.101,2.047,3.711,31.99
53612089631,11.101,2.046,3.709,31.99
53612222831,11.103,2.047,3.708,31.99
53612357631,11.102,2.047,3.707,31.99
53612491231,11.103,2.047,3.706,31.99
53612624431,11.100,2.047,3.706,31.99
53612759231,11.102,2.046,3.709,31.99
53612892831,11.098,2.046,3.704,31.99
53613026031,11.093,2.046,3.701,31.99
53613160431,11.091,2.046,3.699,31.99
53613293631,11.084,2.046,3.701,31.98
53613426831,11.085,2.046,3.704,31.98
53613561231,11.084,2.047,3.705,31.98
53613694431,11.088,2.049,3.706,31.98
53613828031,11.090,2.050,3.703,31.98
53613962431,11.093,2.049,3.708,31.98
53614096031,11.092,2.049,3.705,31.98
53614229631,11.090,2.049,3.705,31.98
53614364031,11.092,2.049,3.705,31.98
53614497231,11.085,2.048,3.706,31.98
53614630431,11.092,2.048,3.704,31.98
53614765231,11.092,2.047,3.705,31.98
53614898431,11.087,2.046,3.704,31.98
53615032031,11.082,2.045,3.704,31.98
53615166431,11.081,2.044,3.702,31.98
53615300031,11.083,2.042,3.702,31.98
53615433231,11.079,2.041,3.702,31.98
53615568031,11.080,2.041,3.700,31.98
53615701231,11.086,2.041,3.703,31.98
53615834431,11.086,2.042,3.701,31.98
53615968831,11.082,2.043,3.702,31.98
53616102431,11.087,2.041,3.702,31.98
53616236031,11.087,2.043,3.702,31.98
53616370831,11.085,2.044,3.702,31.98
53616504031,11.080,2.044,3.702,31.98
53616637231,11.079,2.044,3.704,31.98
53616772031,11.084,2.042,3.702,31.98
53616905231,11.080,2.043,3.702,31.98
53617038431,11.077,2.042,3.701,31.98
53617173231,11.075,2.042,3.696,31.98
53617306431,11.071,2.041,3.697,31.98
53617439631,11.070,2.042,3.697,31.98
53617574431,11.062,2.041,3.697,31.98
53617707631,11.058,2.041,3.701,31.98
53617840831,11.059,2.042,3.698,31.97
53617975631,11.056,2.041,3.697,31.97
53618108831,11.058,2.042,3.694,31.97
53618242031,11.060,2.042,3.694,31.97
53618376831,11.068,2.042,3.693,31.97
53618510031,11.066,2.043,3.698,31.97
53618643231,11.065,2.042,3.694,31.97
53618777631,11.065,2.042,3.691,31.97
53618910831,11.069,2.040,3.695,31.97
53619044031,11.058,2.040,3.695,31.97
53619178431,11.057,2.040,3.695,31.97
53619311631,11.056,2.041,3.698,31.97
53619444831,11.054,2.038,3.698,31.97
53619579631,11.054,2.040,3.697,31.97
53619712831,11.065,2.038,3.697,31.97
53619846031,11.069,2.038,3.696,31.97
53619980831,11.072,2.038,3.696,31.97
53620114431,11.075,2.037,3.699,31.96
53620248031,11.075,2.034,3.701,31.96
53620382831,11.075,2.035,3.696,31.96
53620516031,11.082,2.037,3.697,31.96
53620649231,11.083,2.037,3.694,31.96
53620783631,11.087,2.036,3.698,31.96
53620917231,11.092,2.037,3.702,31.96
53621050431,11.091,2.037,3.698,31.96
53621185231,11.087,2.036,3.698,31.96
53621318431,11.077,2.037,3.701,31.96
53621451631,11.078,2.037,3.701,31.96
53621586431,11.087,2.034,3.703,31.96
53621719631,11.080,2.035,3.700,31.96
53621853231,11.080,2.033,3.702,31.96
53621988031,11.073,2.032,3.702,31.96
53622121631,11.075,2.032,3.697,31.96
53622254831,11.069,2.031,3.693,31.96
53622389231,11.070,2.030,3.693,31.96
53622522831,11.069,2.029,3.693,31.96
53622656431,11.065,2.030,3.693,31.95
53622790831,11.065,2.031,3.696,31.95
53622924031,11.063,2.031,3.695,31.95
53623057231,11.066,2.032,3.692,31.95
53623191631,11.059,2.032,3.691,31.95
53623324831,11.068,2.032,3.689,31.95
53623458031,11.064,2.034,3.692,31.95
53623592831,11.068,2.034,3.693,31.95
53623726431,11.070,2.034,3.698,31.95
53623859631,11.072,2.036,3.696,31.95
53623994031,11.080,2.034,3.694,31.95
53624127231,11.073,2.033,3.696,31.95
53624260831,11.072,2.035,3.697,31.95
53624395231,11.077,2.037,3.700,31.95
53624528431,11.073,2.037,3.696,31.95
53624661631,11.064,2.036,3.696,31.95
53624796031,11.060,2.036,3.700,31.95
53624929231,11.064,2.036,3.701,31.95
53625062431,11.063,2.037,3.700,31.95
53625197231,11.063,2.038,3.698,31.95
53625330431,11.064,2.038,3.696,31.94
53625463631,11.067,2.037,3.698,31.95
53625598031,11.068,2.040,3.696,31.95
53625731631,11.067,2.040,3.697,31.95
53625864831,11.062,2.041,3.698,31.94
53625999631,11.057,2.039,3.698,31.94
53626132831,11.055,2.038,3.698,31.94
53626266431,11.055,2.041,3.699,31.94
53626401231,11.058,2.043,3.698,31.94
53626534431,11.058,2.040,3.699,31.94
53626667631,11.055,2.039,3.699,31.94
53626802031,11.056,2.038,3.699,31.94
53626935631,11.054,2.038,3.698,31.94
53627068831,11.062,2.039,3.699,31.94
53627203231,11.056,2.038,3.698,31.94
53627336431,11.058,2.038,3.699,31.94
53627469631,11.062,2.039,3.697,31.94
53627604031,11.061,2.041,3.695,31.94
53627737231,11.062,2.042,3.692,31.94
53627870431,11.060,2.042,3.694,31.94
53628005231,11.056,2.040,3.693,31.94
53628138431,11.062,2.039,3.691,31.94
53628271631,11.057,2.039,3.689,31.94
53628406031,11.051,2.039,3.690,31.94
53628539231,11.052,2.038,3.688,31.94
53628672431,11.053,2.039,3.687,31.94
53628807231,11.056,2.038,3.690,31.94
53628940431,11.059,2.037,3.687,31.94
53629073631,11.055,2.037,3.688,31.94
53629208431,11.057,2.037,3.688,31.94
53629341631,11.060,2.035,3.691,31.94
53629474831,11.057,2.033,3.694,31.94
53629609631,11.052,2.034,3.694,31.94
53629742831,11.056,2.035,3.695,31.94
53629876031,11.058,2.035,3.692,31.93
53630010831,11.050,2.037,3.691,31.93
53630144031,11.052,2.038,3.690,31.93
53630277231,11.059,2.037,3.691,31.93
53630411699,11.056,2.039,3.693,31.93
53630544831,11.053,2.039,3.691,31.93
53630678031,11.049,2.039,3.692,31.93
53630811231,11.057,2.038,3.692,31.93
53630944431,11.052,2.039,3.692,31.92
53631077631,11.053,2.039,3.694,31.92
53631210831,11.054,2.038,3.694,31.92
53631344031,11.058,2.035,3.695,31.92
53631477231,11.057,2.035,3.696,31.92
53631610431,11.053,2.035,3.696,31.92
53631744831,11.062,2.034,3.696,31.92
53631878031,11.059,2.034,3.698,31.92
53632011231,11.057,2.031,3.699,31.92
53632145631,11.059,2.031,3.697,31.92
53632279231,11.052,2.031,3.694,31.92
53632412431,11.052,2.031,3.696,31.92
53632547231,11.060,2.031,3.698,31.92
53632680431,11.054,2.031,3.698,31.92
53632813631,11.049,2.032,3.692,31.92
53632948031,11.047,2.035,3.690,31.92
53633081631,11.044,2.034,3.690,31.92
53633214831,11.042,2.035,3.688,31.92
53633349631,11.039,2.034,3.687,31.92
53633482831,11.039,2.035,3.682,31.92
53633616431,11.038,2.035,3.683,31.92
53633751231,11.044,2.036,3.683,31.91
53633884431,11.040,2.035,3.689,31.91
53634018031,11.048,2.033,3.689,31.91
53634152431,11.043,2.033,3.693,31.91
53634286031,11.041,2.034,3.694,31.91
53634419632,11.039,2.034,3.690,31.92
53634554431,11.041,2.035,3.684,31.92
53634688031,11.041,2.033,3.689,31.92
53634821631,11.041,2.030,3.687,31.92
53634956431,11.042,2.030,3.686,31.93
53635090031,11.045,2.032,3.688,31.93
53635223231,11.045,2.033,3.687,31.93
53635358031,11.043,2.031,3.686,31.92
53635491231,11.050,2.031,3.688,31.92
53635624431,11.053,2.030,3.692,31.92
53635758831,11.055,2.029,3.690,31.92
53635892031,11.047,2.027,3.690,31.92
53636025631,11.043,2.026,3.692,31.92
53636160431,11.046,2.026,3.692,31.92
53636294031,11.052,2.027,3.694,31.92
53636427231,11.053,2.027,3.692,31.91
53636561631,11.049,2.026,3.691,31.91
53636694831,11.051,2.025,3.693,31.91
53636828031,11.044,2.023,3.690,31.91
53636962831,11.039,2.022,3.694,31.91
53637096432,11.041,2.022,3.693,31.91
53637229631,11.043,2.023,3.693,31.91
53637364431,11.041,2.022,3.691,31.91
53637498031,11.047,2.021,3.690,31.91
53637631631,11.045,2.023,3.686,31.91
53637766431,11.046,2.021,3.682,31.91
53637899632,11.044,2.021,3.683,31.91
53638033231,11.037,2.021,3.687,31.91
53638168031,11.040,2.020,3.694,31.91
53638301631,11.042,2.017,3.695,31.91
53638435231,11.039,2.017,3.700,31.91
53638570031,11.041,2.018,3.699,31.91
53638703231,11.039,2.018,3.696,31.91
53638836831,11.041,2.017,3.698,31.90
53638971631,11.038,2.017,3.694,31.90
53639104832,11.035,2.018,3.688,31.91
53639238031,11.029,2.018,3.689,31.90
53639372831,11.033,2.020,3.689,31.90
53639506431,11.034,2.022,3.686,31.91
53639640031,11.035,2.022,3.687,31.91
53639774831,11.037,2.023,3.689,31.91
53639908431,11.032,2.024,3.692,31.90
53640042031,11.040,2.027,3.690,31.90
53640176831,11.037,2.027,3.693,32.10
53640310431,11.196,2.031,3.693,32.43
53640444031,11.475,2.038,3.696,32.73
53640578831,11.726,2.046,3.693,33.01
53640712031,11.964,2.053,3.696,33.24
53640845631,12.154,2.060,3.698,33.44
53640980431,12.326,2.064,3.699,33.63
53641113632,12.479,2.068,3.702,33.79
53641247231,12.609,2.072,3.703,33.92
53641382031,12.723,2.075,3.705,34.05
53641515631,12.822,2.079,3.703,34.17
53641649231,12.920,2.081,3.705,34.27
53641784031,13.000,2.085,3.706,34.35
53641917631,13.073,2.087,3.708,34.43
53642051231,13.138,2.089,3.710,34.50
53642186032,13.195,2.091,3.713,34.56
53642319631,13.249,2.092,3.717,34.61
53642453231,13.291,2.096,3.720,34.66
53642588031,13.318,2.098,3.718,34.70
53642721631,13.349,2.098,3.720,34.74
53642855231,13.376,2.099,3.723,34.77
53642990031,13.404,2.102,3.725,34.80
53643123632,13.426,2.104,3.724,34.83
53643257231,13.449,2.109,3.724,34.85
53643392031,13.468,2.109,3.724,34.88
53643525631,13.483,2.111,3.729,34.89
53643658831,13.493,2.110,3.730,34.91
53643793631,13.517,2.109,3.730,34.93
53643927231,13.523,2.110,3.731,34.94
53644060831,13.533,2.110,3.735,34.95
53644195631,13.538,2.112,3.735,34.97
53644329231,13.548,2.112,3.734,34.98
53644462831,13.550,2.112,3.735,34.99
53644597631,13.563,2.112,3.732,35.00
53644731231,13.567,2.110,3.732,35.01
53644864831,13.570,2.107,3.734,35.01
53644999631,13.578,2.108,3.731,35.02
53645133232,13.578,2.109,3.732,35.03
53645266831,13.586,2.108,3.736,35.03
53645401631,13.587,2.108,3.736,35.04
53645535231,13.591,2.110,3.737,35.05
53645668831,13.597,2.111,3.737,35.05
53645803631,13.605,2.111,3.737,35.05
53645937231,13.611,2.112,3.740,35.06
53646070831,13.614,2.113,3.740,35.06
53646205631,13.615,2.114,3.744,34.97
53646339231,13.523,2.113,3.748,34.62
53646472831,13.232,2.106,3.749,34.32
53646607631,12.968,2.099,3.744,34.04
53646740831,12.743,2.092,3.742,33.81
53646874431,12.545,2.087,3.744,33.59
53647009231,12.375,2.082,3.743,33.41
53647142431,12.205,2.078,3.740,33.24
53647275631,12.077,2.074,3.741,33.10
53647410431,11.957,2.071,3.740,32.97
53647543631,11.846,2.065,3.739,32.86
53647676831,11.760,2.062,3.742,32.76
53647811631,11.682,2.058,3.740,32.67
53647944831,11.611,2.054,3.740,32.59
53648078431,11.550,2.052,3.743,32.52
53648213231,11.501,2.051,3.740,32.46
53648346831,11.453,2.050,3.736,32.41
53648480431,11.411,2.049,3.730,32.36
53648615231,11.368,2.048,3.728,32.32
53648748831,11.334,2.046,3.727,32.28
53648882031,11.307,2.045,3.724,32.25
53649016831,11.281,2.043,3.723,32.22
53649150031,11.258,2.042,3.720,32.19
53649283631,11.243,2.039,3.724,32.17
53649418431,11.221,2.038,3.723,32.15
53649552031,11.202,2.037,3.724,32.13
53649685232,11.196,2.034,3.726,32.12
53649819631,11.184,2.034,3.725,32.10
53649952831,11.179,2.035,3.729,32.09
53650086431,11.167,2.034,3.727,32.08
53650220831,11.157,2.033,3.725,32.07
53650354031,11.145,2.031,3.723,32.07
53650487231,11.137,2.031,3.722,32.08
53650621703,11.141,2.035,3.718,32.34
53650754831,11.233,2.191,3.716,32.58
53650888431,11.305,2.334,3.713,32.79
53651022915,11.378,2.458,3.712,32.97
53651156031,11.445,2.575,3.712,33.14
53651289631,11.496,2.669,3.714,33.28
53651424432,11.545,2.760,3.714,33.41
53651558031,11.585,2.834,3.718,33.52
53651691631,11.627,2.899,3.719,33.62
53651826431,11.661,2.955,3.722,33.71
53651960031,11.687,3.007,3.722,33.79
53652093631,11.713,3.054,3.721,33.85
53652228432,11.733,3.092,3.721,33.91
53652362031,11.760,3.126,3.722,33.97
53652495631,11.778,3.156,3.724,34.01
53652630432,11.792,3.180,3.722,34.05
53652764031,11.803,3.203,3.723,34.09
53652897631,11.817,3.222,3.720,34.12
53653032432,11.829,3.239,3.720,34.15
53653166031,11.834,3.253,3.723,34.17
53653299631,11.840,3.266,3.725,34.19
53653434432,11.842,3.277,3.724,34.21
53653567631,11.858,3.286,3.724,34.23
53653701232,11.861,3.294,3.721,34.24
53653836031,11.861,3.302,3.720,34.26
53653969631,11.861,3.311,3.722,34.27
53654103231,11.868,3.320,3.721,34.29
53654237675,11.874,3.326,3.724,34.29
53654371231,11.880,3.332,3.723,34.30
53654504831,11.891,3.336,3.723,34.31
53654639357,11.897,3.339,3.725,34.32
53654772831,11.906,3.341,3.725,34.33
53654906431,11.900,3.344,3.728,34.33
53655041035,11.906,3.347,3.731,34.34
53655174431,11.904,3.350,3.732,34.35
53655308031,11.904,3.355,3.733,34.35
53655442695,11.903,3.357,3.733,34.35
53655576031,11.909,3.358,3.735,34.36
53655709631,11.911,3.360,3.738,34.36
53655844464,11.913,3.362,3.737,34.36
53655978032,11.903,3.362,3.738,34.37
53656111631,11.905,3.364,3.740,34.37
53656246360,11.907,3.365,3.741,34.38
53656379631,11.912,3.365,3.739,34.37
53656513231,11.910,3.365,3.741,34.38
53656647759,11.914,3.364,3.736,34.38
53656781231,11.915,3.366,3.733,34.38
53656914832,11.914,3.366,3.734,34.35
53657049595,11.902,3.362,3.737,34.08
53657182831,11.805,3.191,3.733,33.83
53657316431,11.731,3.051,3.733,33.62
53657450937,11.668,2.927,3.733,33.44
53657584031,11.600,2.812,3.732,33.27
53657717631,11.539,2.719,3.737,33.12
53657852097,11.492,2.638,3.734,32.99
53657985631,11.449,2.560,3.735,32.88
53658118831,11.420,2.496,3.735,32.78
53658253298,11.383,2.442,3.734,32.69
53658386831,11.353,2.393,3.733,32.61
53658520431,11.324,2.347,3.730,32.54
53658654920,11.300,2.309,3.728,32.48
53658788031,11.276,2.276,3.723,32.43
53658921631,11.259,2.247,3.723,32.38
53659056114,11.237,2.221,3.725,32.34
53659189631,11.217,2.200,3.720,32.30
53659323231,11.202,2.179,3.720,32.27
53659458031,11.187,2.160,3.722,32.24
53659591231,11.176,2.145,3.721,32.21
53659724431,11.165,2.130,3.720,32.19
53659858942,11.158,2.120,3.719,32.17
53659992432,11.149,2.109,3.714,32.15
53660125631,11.141,2.103,3.714,32.13
53660260096,11.137,2.094,3.709,32.11
53660393631,11.129,2.087,3.713,32.10
53660526831,11.130,2.080,3.711,32.09
53660661632,11.130,2.075,3.711,32.08
53660795231,11.124,2.070,3.711,32.07
53660928431,11.118,2.066,3.708,32.06
53661063231,11.118,2.062,3.709,32.05
53661196831,11.116,2.060,3.707,32.04
53661330431,11.107,2.060,3.706,32.03
53661465232,11.109,2.057,3.706,32.03
53661598431,11.100,2.055,3.707,32.02
53661732031,11.093,2.054,3.709,32.02
53661866535,11.095,2.049,3.709,32.01
53662000032,11.098,2.048,3.710,32.01
53662133631,11.098,2.046,3.708,32.00
53662268427,11.097,2.045,3.706,32.09
53662402031,11.108,2.083,3.730,32.30
53662535631,11.137,2.202,3.774,32.49
53662670143,11.170,2.305,3.813,32.66
53662803631,11.202,2.401,3.850,32.81
53662936831,11.216,2.482,3.876,32.94
53663071632,11.237,2.553,3.903,33.05
53663204831,11.257,2.613,3.925,33.15
53663338431,11.277,2.667,3.946,33.24
53663472904,11.300,2.715,3.964,33.32
53663606431,11.316,2.755,3.982,33.39
53663739631,11.331,2.793,3.991,33.45
53663874432,11.346,2.823,4.006,33.50
53664008032,11.359,2.853,4.016,33.55
53664141631,11.369,2.879,4.024,33.59
53664276432,11.376,2.904,4.034,33.63
53664410031,11.385,2.924,4.043,33.66
53664543631,11.391,2.940,4.045,33.69
53664678113,11.396,2.959,4.053,33.71
53664811631,11.399,2.970,4.059,33.74
53664945231,11.409,2.981,4.065,33.75
53665079864,11.407,2.988,4.066,33.77
53665213231,11.412,2.998,4.073,33.79
53665346831,11.414,3.004,4.076,33.80
53665481387,11.411,3.010,4.076,33.82
53665614831,11.418,3.017,4.082,33.82
53665748431,11.418,3.020,4.086,33.83
53665883232,11.426,3.024,4.088,33.84
53666016832,11.432,3.028,4.094,33.85
53666150431,11.434,3.032,4.099,33.86
53666284802,11.432,3.033,4.102,33.86
53666418031,11.437,3.036,4.104,33.87
53666551631,11.437,3.040,4.106,33.88
53666686432,11.446,3.045,4.106,33.88
53666820031,11.448,3.047,4.107,33.89
53666953631,11.448,3.048,4.109,33.89
53667088432,11.444,3.049,4.107,33.90
53667222032,11.454,3.053,4.113,33.90
53667355631,11.459,3.056,4.114,33.90
53667490065,11.452,3.055,4.113,33.90
53667623631,11.449,3.057,4.116,33.91
53667756831,11.447,3.057,4.113,33.91
53667891632,11.448,3.061,4.116,33.91
53668025232,11.447,3.062,4.112,33.91
53668158831,11.441,3.060,4.115,33.91
53668293632,11.445,3.061,4.113,33.92
53668427231,11.450,3.061,4.112,33.92
53668560831,11.459,3.060,4.111,33.92
53668695632,11.460,3.055,4.109,33.92
53668829231,11.461,3.056,4.111,33.92
53668962831,11.453,3.058,4.116,33.93
53669097632,11.456,3.060,4.118,33.90
53669231231,11.451,3.055,4.113,33.68
53669364431,11.408,2.923,4.060,33.48
53669498832,11.380,2.814,4.015,33.30
53669632031,11.347,2.721,3.980,33.15
53669765631,11.320,2.638,3.952,33.01
53669900198,11.295,2.559,3.923,32.89
53670033232,11.269,2.498,3.894,32.79
53670166431,11.250,2.443,3.875,32.69
53670301330,11.227,2.393,3.858,32.61
53670434831,11.216,2.346,3.841,32.54
53670568031,11.201,2.310,3.823,32.48
53670702832,11.187,2.277,3.810,32.42
53670836031,11.170,2.246,3.799,32.37
53670969631,11.166,2.221,3.788,32.32
53671104180,11.153,2.198,3.779,32.28
53671237231,11.151,2.177,3.771,32.25
53671370831,11.146,2.159,3.763,32.22
53671505307,11.134,2.144,3.758,32.19
53671638431,11.132,2.131,3.750,32.16
53671771631,11.119,2.120,3.746,32.14
53671906590,11.110,2.113,3.742,32.12
53672040032,11.098,2.105,3.740,32.10
53672173231,11.099,2.096,3.735,32.08
53672307713,11.091,2.090,3.730,32.07
53672441231,11.093,2.084,3.724,32.06
53672574431,11.092,2.079,3.720,32.05
53672709232,11.091,2.075,3.717,32.04
53672842831,11.088,2.070,3.716,32.03
53672976431,11.090,2.066,3.714,32.02
53673111232,11.095,2.063,3.714,32.02
53673244831,11.090,2.060,3.715,32.01
53673378031,11.086,2.056,3.713,32.01
53673512646,11.080,2.055,3.710,32.00
53673645631,11.070,2.054,3.712,31.99
53673779231,11.069,2.051,3.711,31.99
53673913697,11.065,2.049,3.708,31.98
53674047232,11.061,2.046,3.705,31.98
53674180831,11.064,2.046,3.704,31.97
53674315631,11.054,2.046,3.701,31.97
53674449231,11.052,2.042,3.705,32.08
53674582431,11.068,2.069,3.755,32.36
53674717009,11.095,2.173,3.883,32.60
53674850431,11.125,2.254,3.979,32.73
53674984032,11.147,2.291,4.040,32.93
53675118762,11.173,2.360,4.118,33.11
53675252031,11.199,2.426,4.197,33.26
53675385631,11.215,2.477,4.263,33.24
53675520208,11.218,2.470,4.255,33.38
53675653231,11.233,2.516,4.315,33.51
53675786832,11.241,2.559,4.369,33.62
