epoch_ms,watts,minion_mhz,minion_mv
1790194908814,29.67,600.0,518.0
1790194908946,29.7,600.0,518.0
1790194909076,29.72,600.0,518.0
1790194909219,29.56,600.0,518.0
1790194909362,29.77,600.0,518.0
1790194909494,29.72,600.0,518.0
1790194909626,29.74,600.0,518.0
1790194909725,29.74,600.0,518.0
1790194909845,29.59,600.0,518.0
1790194909988,29.72,600.0,518.0
1790194910127,29.63,600.0,518.0
1790194910265,29.69,600.0,518.0
1790194910402,29.68,600.0,518.0
1790194910534,29.73,600.0,518.0
1790194910668,29.64,600.0,518.0
1790194910793,29.68,600.0,518.0
1790194910934,29.66,600.0,518.0
1790194911072,29.68,600.0,518.0
1790194911205,29.63,600.0,518.0
1790194911346,29.69,600.0,518.0
1790194911465,29.71,600.0,518.0
1790194911569,29.69,600.0,518.0
1790194911685,29.69,600.0,518.0
1790194911811,29.68,600.0,518.0
1790194911952,29.67,600.0,518.0
1790194912084,29.68,600.0,518.0
1790194912219,29.68,600.0,518.0
1790194912331,29.72,600.0,518.0
1790194912462,29.61,600.0,518.0
1790194912592,29.49,600.0,518.0
1790194912718,29.68,600.0,518.0
1790194912845,29.72,600.0,518.0
1790194912961,29.77,600.0,518.0
1790194913072,29.73,600.0,518.0
1790194913205,29.56,600.0,518.0
1790194913343,29.54,600.0,518.0
1790194913476,29.7,600.0,518.0
1790194913618,29.69,600.0,518.0
1790194913753,29.59,600.0,518.0
1790194913879,29.57,600.0,518.0
1790194914010,29.67,600.0,518.0
1790194914150,29.59,600.0,518.0
1790194914289,29.64,600.0,518.0
1790194914427,29.62,600.0,518.0
1790194914551,29.59,600.0,518.0
1790194914683,29.66,600.0,518.0
1790194914822,29.59,600.0,518.0
1790194914928,29.59,600.0,518.0
1790194915025,30.34,600.0,518.0
1790194915121,32.53,600.0,518.0
1790194915218,32.53,600.0,518.0
1790194915315,32.68,600.0,518.0
1790194915412,32.08,600.0,518.0
1790194915509,32.08,600.0,518.0
1790194915607,29.68,600.0,518.0
1790194915704,32.65,600.0,518.0
1790194915801,32.62,600.0,518.0
1790194915898,32.62,600.0,518.0
1790194915994,32.59,600.0,518.0
1790194916092,29.73,600.0,518.0
1790194916188,29.73,600.0,518.0
1790194916285,32.67,600.0,518.0
1790194916383,32.63,600.0,518.0
1790194916481,32.59,600.0,518.0
1790194916578,32.59,600.0,518.0
1790194916676,29.86,600.0,518.0
1790194916773,32.47,600.0,518.0
1790194916870,32.47,600.0,518.0
1790194916967,32.68,600.0,518.0
1790194917063,32.62,600.0,518.0
1790194917160,32.62,600.0,518.0
1790194917257,31.35,600.0,518.0
1790194917355,32.63,600.0,518.0
1790194917453,32.65,600.0,518.0
1790194917550,32.65,600.0,518.0
1790194917646,32.65,600.0,518.0
1790194917743,32.11,600.0,518.0
1790194917840,32.11,600.0,518.0
1790194917937,32.69,600.0,518.0
1790194918033,32.65,600.0,518.0
1790194918130,32.65,600.0,518.0
1790194918226,32.56,600.0,518.0
1790194918322,32.12,600.0,518.0
