epoch_ms,minion_mhz,watts
1789784190556,600,32.52
1789784190805,600,32.34
1789784191064,600,32.33
1789784191314,600,32.46
1789784191573,600,32.44
1789784191810,600,32.42
1789784192044,600,32.46
1789784192294,600,32.46
1789784192558,600,32.39
1789784192816,600,32.43
1789784193082,600,32.43
1789784193333,600,32.39
1789784193585,600,32.45
1789784193847,600,32.41
1789784194104,600,32.41
1789784194364,600,32.41
1789784194614,600,32.43
1789784194877,600,32.45
1789784195109,600,32.37
1789784195357,600,32.46
1789784195625,600,32.46
1789784195884,600,32.37
1789784196134,600,32.41
1789784196385,600,32.41
1789784196644,600,32.41
1789784196896,600,32.4
1789784197164,600,32.43
1789784197420,600,32.43
1789784197676,600,32.41
1789784197927,600,32.46
1789784198185,600,32.35
1789784198419,600,32.37
1789784198666,600,32.45
1789784198932,600,32.37
1789784199191,600,32.37
1789784199441,600,32.43
1789784199700,600,32.44
1789784199967,600,32.44
1789784200222,600,32.44
1789784200475,600,32.43
1789784200733,600,32.4
1789784200985,600,32.21
1789784201243,600,32.51
1789784201500,600,32.36
1789784201734,600,32.37
1789784201985,600,32.46
1789784202236,600,32.54
1789784202495,600,32.44
1789784202762,600,32.32
1789784203020,600,32.44
1789784203268,600,32.37
1789784203533,600,32.37
1789784203778,600,32.42
1789784204035,600,32.4
1789784204295,600,32.41
1789784204561,600,32.44
1789784204795,600,32.45
1789784205047,600,32.46
1789784205307,600,32.32
1789784205564,600,32.44
1789784205808,600,32.44
1789784206077,600,32.41
1789784206335,600,32.31
1789784206584,600,32.44
1789784206833,600,32.3
1789784207092,600,32.45
1789784207350,600,32.37
1789784207611,600,32.44
1789784207868,600,32.32
1789784208102,600,32.34
1789784208359,600,32.4
1789784208616,600,32.36
1789784208876,600,32.41
1789784209127,600,32.37
1789784209384,600,32.44
1789784209635,600,32.4
1789784209900,600,32.37
1789784210150,600,32.36
1789784210411,600,32.31
1789784210669,600,32.34
1789784210937,600,32.36
1789784211173,600,32.3
1789784211406,600,32.45
1789784211665,600,32.33
1789784211924,600,32.44
1789784212183,600,32.41
1789784212434,600,32.44
1789784212684,600,32.32
1789784212915,600,32.43
1789784213146,600,32.62
1789784213378,600,32.84
1789784213610,600,32.62
1789784213842,600,32.61
1789784214074,600,32.77
epoch_ms,minion_mhz,watts
1789784230272,600,32.55
1789784230506,600,32.51
1789784230741,600,32.36
1789784231001,600,32.41
1789784231253,600,32.27
1789784231503,600,32.37
1789784231768,600,32.41
1789784232019,600,32.36
1789784232287,600,32.33
1789784232539,600,32.23
1789784232795,600,32.2
1789784233050,600,32.4
1789784233311,600,32.24
1789784233568,600,32.36
1789784233801,600,32.29
1789784234058,600,32.21
1789784234315,600,32.41
1789784234572,600,32.36
1789784234817,600,32.33
1789784235073,600,32.27
1789784235332,,32.37
1789784236652,600,32.33
